,orbital_period,mass,distance
0,269.3,7.1,77.4
1,874.774,2.21,56.95
2,763.0,2.6,19.84
3,326.03,19.4,110.62
4,516.22,10.5,119.47
5,185.84,4.8,76.39
6,1773.4,4.64,18.15
8,993.3,10.3,73.1
9,452.8,1.99,74.79
10,883.0,0.86,74.79
11,335.1,9.88,39.43
12,479.1,3.88,97.28
13,1078.0,2.53,14.08
14,2391.0,0.54,14.08
15,14002.0,1.64,14.08
16,4.230785,0.472,15.36
17,14.651,0.8,12.53
18,44.38,0.165,12.53
19,4909.0,3.53,12.53
21,261.2,0.172,12.53
22,4.215,0.016,8.52
23,38.021,0.057,8.52
24,123.01,0.072,8.52
27,952.7,5.3,97.18
28,181.4,3.2,45.52
45,380.8,1.8,20.21
46,3.2357,0.0036,1.35
48,2502.0,1.55,3.22
50,594.9,7.6,47.53
51,428.5,8.78,38.52
52,903.3,1.85,13.79
55,136.75,2.8,62.66
58,277.02,1.7,80.64
61,39.845,1.04,17.43
62,3.3135,3.9,15.6
63,305.5,20.6,92.51
64,4.617033,0.6876,13.47
65,241.258,1.981,13.47
66,1276.46,4.132,13.47
67,3848.86,1.059,13.47
76,655.6,5.1,37.54
79,5.6,0.045,42.09
80,237.6,0.33,42.09
81,3.8728,0.027,20.1
82,125.94,0.17,20.1
83,268.94,1.47,50.03
84,137.48,1.11,175.44
114,15.76491,3.91,10.91
115,8.631,0.035,14.97
116,25.6,0.024,14.97
117,603.0,0.079,14.97
118,2288.0,0.82,12.12
119,692.0,1.894,15.1
120,7100.0,1.6,15.1
121,4100.0,2.3,20.03
122,7.3709,0.018,9.04
125,5.36874,0.049,6.27
126,12.9292,0.017,6.27
127,66.8,0.022,6.27
128,3.14942,0.006,6.27
129,598.3,0.328,10.32
130,7.2004,0.018,6.8
131,28.14,0.012,6.8
132,91.61,0.016,6.8
133,62.24,0.008,6.8
134,39.026,0.008,6.8
135,256.2,0.014,6.8
136,4.6938,0.035,4.54
137,1050.3,4.95,16.13
138,3.6,0.014,16.13
139,35.37,0.036,16.13
140,3416.0,0.64,4.94
141,1845.0,0.91,8.77
142,61.1166,2.2756,4.7
143,30.0881,0.7142,4.7
144,1.93778,0.021,4.7
145,124.26,0.046,4.7
147,133.71,3.37,17.62
149,2.64561,0.022,19.8
161,428.5,15.2,214.0
166,5584.0,3.4,90.0
181,1022.0,3.4,354.0
198,349.7,1.25,25.64
199,6005.0,5.3,25.64
200,5.7727,0.024,23.44
201,13.505,0.0186,23.44
202,431.8,3.1,167.5
203,533.0,6.1,7.01
204,1183.0,4.9,89.85
205,3.4442,0.48,53.71
206,311.6,1.6,115.21
207,62.218,0.229,11.11
208,526.62,1.56,44.05
209,829.0,0.8,32.7
210,15.609,0.0405,21.85
211,431.88,2.07,77.82
212,356.0,2.3,131.41
213,360.2,2.37,56.5
214,2732.0,2.37,56.5
215,675.0,1.94,100.0
216,777.0,1.96,53.28
218,177.11,7.6,150.6
219,22.09,0.48,40.32
220,2496.0,1.65,55.01
221,615.0,0.29,35.88
222,1275.0,1.11,38.52
223,4046.0,2.0,38.52
224,5.3978,0.029,16.82
225,1313.0,0.63,56.34
226,227.0,1.8,44.15
227,1634.0,14.2,38.26
228,30.052,0.7,52.85
229,192.9,1.82,52.85
230,5.75962,0.041,39.39
231,16.3567,0.038,39.39
232,49.747,0.08,39.39
233,122.72,0.074,39.39
234,602.0,0.067,39.39
235,2248.0,0.205,39.39
236,989.2,0.94,17.35
237,1075.2,6.21,32.56
238,1270.2,3.44,53.82
239,170.455,0.82,53.82
240,711.0,6.54,66.49
241,1945.0,0.622,33.98
242,37.91,0.0788,33.98
243,262.709,2.3,37.16
244,1708.0,1.92,37.16
245,471.6,14.0,300.3
246,14.182,0.0325,28.6
247,53.832,0.036,28.6
248,19.382,0.865,66.89
249,931.0,5.13,66.89
250,4218.0,1.88,45.52
251,75.523,0.26,35.91
252,17.24,0.0696,25.54
253,990.0,4.4,59.84
254,465.1,14.3,50.18
257,772.0,2.7,127.88
258,466.2,1.37,22.38
259,11.849,0.0378,43.08
260,33.823,0.0422,43.08
261,500.0,1.07,27.13
262,18.315,0.0085,6.06
263,40.114,0.00755,6.06
264,90.309,0.0151,6.06
265,29.15,0.0379,35.89
266,85.131,0.0496,35.89
267,591.9,1.9,36.02
268,380.85,1.99,44.5
269,22.656,0.0322,32.31
270,53.881,0.06472,32.31
271,1214.0,1.5,89.13
272,738.459,2.61,34.6
273,528.07,13.65,31.79
274,1561.0,7.71,51.97
275,3668.0,4.01,46.51
276,1845.0,0.95,56.05
277,423.841,1.28,18.24
278,2208.0,1.45,44.54
279,17.991,0.62,42.37
280,1117.0,1.16,56.18
281,385.9,5.59,39.56
282,387.1,1.7,168.92
283,2819.654,9.17,54.71
284,1159.2,1.373,26.5
285,912.0,1.8,121.07
286,466.0,0.5,53.82
287,16.546,0.0363,38.01
288,51.284,0.0498,38.01
289,274.49,0.0519,38.01
290,326.6,1.3,136.8
291,18.179,0.33,86.88
292,157.54,3.04,117.37
293,1049.0,0.79,45.01
294,388.0,9.1,20.98
296,154.46,0.61,33.24
297,2295.0,0.683,33.24
298,843.6,0.624,33.24
299,2063.818,10.35,18.21
300,55.0,2.3,42.88
301,2720.0,3.366,42.88
302,5.6363,0.0117,25.59
303,14.025,0.0187,25.59
304,33.941,0.0162,25.59
305,14.3098,0.839,42.43
306,2140.2,13.38,42.43
307,696.3,10.7,99.4
308,407.15,0.0961,15.56
309,4.3123,0.0126,12.83
310,9.6184,0.0208,12.83
311,20.432,0.0299,12.83
312,34.62,0.011,12.83
313,51.76,0.0164,12.83
314,197.8,0.0223,12.83
315,264.15,4.01,33.33
316,963.0,2.54,43.03
317,1.3283,18.37,43.03
318,18.357,0.039,52.03
319,25.648,0.027,52.03
320,327.8,0.6,54.94
321,2371.0,25.0,37.05
322,36.96,2.49,93.2
323,472.0,0.58,50.43
324,5.8872,0.04,22.04
325,226.93,0.1872,32.58
326,342.85,0.6579,32.58
327,890.76,1.79,48.95
328,43.6,0.47,36.14
329,3.024,0.249,33.41
330,4.0845,0.07167,37.84
331,1353.6,0.35061,37.84
332,430.0,5.0,121.36
333,2500.0,7.0,121.36
334,700.0,1.16,87.41
335,4.9437,0.115,40.73
336,2582.7,1.71,47.26
337,1279.0,4.9,31.03
338,14.07,0.0413,34.07
339,95.415,0.0565,34.07
340,118.96,1.13,28.07
341,303.0,5.25,92.51
342,201.83,3.1548,25.7
343,607.06,7.4634,25.7
344,2.817822,0.38,35.8
345,589.64,2.9,10.34
346,358.0,0.64,32.62
347,572.4,1.26,35.59
348,152.6,0.17,35.59
349,480.5,6.0,80.06
350,1973.0,2.82,55.04
351,6.276,1.9,58.82
352,8.667,0.033,12.58
353,31.56,0.038,12.58
354,197.0,0.058,12.58
356,2231.0,2.0,28.76
357,3383.0,3.15,51.36
358,1260.0,3.06,53.05
359,2.54858,1.87,36.52
360,188.9,2.25,94.61
361,379.1,2.25,94.61
362,1800.0,1.15,96.99
363,51.645,1.8,64.56
364,2473.0,8.06,64.56
365,346.6,0.396,64.56
366,3.51,0.42,28.94
367,418.2,2.51,80.58
368,3.971,0.197,59.7
370,1966.1,1.34,48.64
372,1001.7,6.86,32.56
373,184.02,2.7,88.26
376,705.0,1.3,112.23
377,2.985625,0.4,43.53
378,788.0,0.132,33.96
379,58.43,0.01133,11.15
380,2.1375,1.5,91.16
381,1695.0,0.92,42.48
382,1475.0,7.0,72.57
383,2754.0,1.78,18.06
384,3.416,0.22,74.46
385,2157.0,1.78,30.88
386,256.78,8.44,38.99
387,49.77,0.057,22.09
388,325.81,3.86,32.32
389,143.58,0.37,28.9
390,13.186,0.0263,42.52
391,46.025,0.0318,42.52
393,507.0,1.2,149.03
394,361.1,0.9,132.8
395,498.9,0.68,84.03
396,647.3,4.0,221.24
397,8.1256,0.0284,26.21
398,103.49,0.04,26.21
399,9.494,0.026,21.3
400,436.9,1.8,150.38
401,4951.0,6.8,42.77
402,439.3,0.502,60.46
403,17.054,0.087,17.99
404,4970.0,0.36,17.99
405,868.0,1.4,130.89
406,157.57,1.7,140.85
407,383.7,1.16,52.8
408,70.46,0.3,30.5
409,20.8133,0.172,42.0
410,4.113775,0.45,28.98
411,127.58,5.9,164.2
412,520.0,2.6,164.2
413,122.1,0.05,9.24
414,778.1,5.9,138.5
415,6.495,0.96,121.07
416,47.84,0.098,49.33
417,5.8881,0.367,53.08
418,55.806,0.186,20.82
419,199.505,8.3,102.04
420,1531.0,6.92,37.44
421,2890.0,11.0,87.87
422,3630.0,9.61,36.36
424,48.056,0.21,51.26
425,10.8985,0.261,38.56
426,443.4,2.6,138.5
427,395.8,1.29,68.54
428,1624.0,0.99,68.54
429,68.27,0.77,65.62
430,7.8543,0.054,56.92
431,30.93,0.076,56.92
432,5.24,0.28,59.03
433,835.477,11.09,97.66
434,1143.0,6.8,28.88
435,324.0,2.83,37.42
436,263.3,0.27,15.71
437,1657.0,0.71,15.71
438,937.7,1.24,28.04
440,3827.0,0.48,20.48
441,83.888,11.68,40.57
442,493.7,1.1,20.43
443,1114.0,0.95,35.0
444,670.0,2.1,110.62
445,2597.0,1.88,33.01
446,25.827,0.178,38.02
447,6.1335,2.13,88.57
448,2082.0,4.5,97.66
449,63.33,1.22,44.37
450,344.95,3.71,133.16
451,559.4,3.0,52.83
452,4.1547,0.058,52.83
453,3008.0,7.2,52.83
454,9.6737,0.041,27.45
455,1244.0,0.38,68.35
456,948.12,0.224,38.05
457,454.2,1.45,16.57
458,923.8,3.24,16.57
459,1840.0,1.6,67.61
